# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
pipe_cpp,8,11336,128,128,720822272,1380020224,2405556224
pipe_cpp,8,14358,128,128,720822272,1380020224,2405556224
pipe_cpp,8,17345,128,128,720822272,1380020224,2405556224
pipe_cpp,9,1,128,128,720822272,1380020224,2405556224
pipe_cpp,9,2418,128,128,720822272,1380020224,2405556224
pipe_cpp,9,5486,128,128,720822272,1380020224,2405556224
pipe_cpp,9,8405,128,128,720822272,1380020224,2405556224
pipe_cpp,9,11394,128,128,720822272,1380020224,2405556224
pipe_cpp,9,14423,128,128,720822272,1380020224,2405556224
pipe_cpp,9,17416,128,128,720822272,1380020224,2405556224
pipe_cpp,0,2,256,256,721121280,1380020224,2406088704
pipe_cpp,0,2729,256,256,723066880,1380020224,2407952384
pipe_cpp,0,5288,256,256,723066880,1380020224,2407952384
pipe_cpp,0,8281,256,256,723066880,1380020224,2407952384
pipe_cpp,0,11271,256,256,723066880,1380020224,2407952384
pipe_cpp,0,14275,256,256,723066880,1380020224,2407952384
pipe_cpp,0,17301,256,256,723066880,1380020224,2407952384
pipe_cpp,0,20275,256,256,723066880,1380020224,2407952384
pipe_cpp,0,23268,256,256,723066880,1380020224,2407952384
pipe_cpp,0,26258,256,256,723066880,1380020224,2407952384
pipe_cpp,0,29255,256,256,723066880,1380020224,2407952384
pipe_cpp,0,32213,256,256,723066880,1380020224,2407952384
pipe_cpp,0,35214,256,256,723066880,1380020224,2407952384
pipe_cpp,0,38212,256,256,723066880,1380020224,2407952384
pipe_cpp,0,41204,256,256,723066880,1380020224,2407952384
pipe_cpp,0,44181,256,256,723066880,1380020224,2407952384
pipe_cpp,0,47147,256,256,723066880,1380020224,2407952384
pipe_cpp,0,50174,256,256,723066880,1380020224,2407952384
pipe_cpp,0,53156,256,256,723066880,1380020224,2407952384
pipe_cpp,0,56149,256,256,723066880,1380020224,2407952384
pipe_cpp,0,59141,256,256,723066880,1380020224,2407952384
pipe_cpp,0,62131,256,256,723066880,1380020224,2407952384
pipe_cpp,0,65096,256,256,723066880,1380020224,2407952384
pipe_cpp,0,68087,256,256,723066880,1380020224,2407952384
pipe_cpp,0,71140,256,256,723066880,1380020224,2407952384
pipe_cpp,0,74100,256,256,723066880,1380020224,2407952384
pipe_cpp,0,77122,256,256,723066880,1380020224,2407952384
pipe_cpp,0,80085,256,256,723066880,1380020224,2407952384
pipe_cpp,0,83076,256,256,723066880,1380020224,2407952384
pipe_cpp,0,86076,256,256,723066880,1380020224,2407952384
pipe_cpp,0,89063,256,256,723066880,1380020224,2407952384
pipe_cpp,0,92055,256,256,723066880,1380020224,2407952384
pipe_cpp,0,95057,256,256,723066880,1380020224,2407952384
pipe_cpp,0,98039,256,256,723066880,1380020224,2407952384
pipe_cpp,0,101040,256,256,723066880,1380020224,2407952384
pipe_cpp,0,104061,256,256,723066880,1380020224,2407952384
pipe_cpp,0,107021,256,256,723066880,1380020224,2407952384
pipe_cpp,0,110008,256,256,723066880,1380020224,2407952384
pipe_cpp,0,113015,256,256,723066880,1380020224,2407952384
pipe_cpp,0,115991,256,256,723066880,1380020224,2407952384
pipe_cpp,0,118983,256,256,723066880,1380020224,2407952384
pipe_cpp,0,121972,256,256,723066880,1380020224,2407952384
pipe_cpp,0,124997,256,256,723066880,1380020224,2407952384
pipe_cpp,0,127963,256,256,723066880,1380020224,2407952384
pipe_cpp,0,130962,256,256,723066880,1380020224,2407952384
pipe_cpp,0,133940,256,256,723066880,1380020224,2407952384
pipe_cpp,0,136966,256,256,723066880,1380020224,2407952384
pipe_cpp,0,139904,256,256,723066880,1380020224,2407952384
pipe_cpp,0,142944,256,256,723066880,1380020224,2407952384
pipe_cpp,0,145911,256,256,723066880,1380020224,2407952384
pipe_cpp,0,148900,256,256,723066880,1380020224,2407952384
pipe_cpp,0,151896,256,256,723066880,1380020224,2407952384
pipe_cpp,0,154895,256,256,723066880,1380020224,2407952384
pipe_cpp,0,157885,256,256,723066880,1380020224,2407952384
pipe_cpp,0,160910,256,256,723066880,1380020224,2407952384
pipe_cpp,0,163900,256,256,723066880,1380020224,2407952384
pipe_cpp,0,166884,256,256,723066880,1380020224,2407952384
pipe_cpp,0,169877,256,256,723066880,1380020224,2407952384
pipe_cpp,0,172867,256,256,723066880,1380020224,2407952384
