# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
pipe_optimized,5,11947,256,256,722767872,1380020224,2407563264
pipe_optimized,5,14941,256,256,722767872,1380020224,2407563264
pipe_optimized,5,17931,256,256,722767872,1380020224,2407563264
pipe_optimized,5,20923,256,256,722767872,1380020224,2407563264
pipe_optimized,5,23915,256,256,722767872,1380020224,2407563264
pipe_optimized,5,26908,256,256,722767872,1380020224,2407563264
pipe_optimized,5,29899,256,256,722767872,1380020224,2407563264
pipe_optimized,5,32892,256,256,722767872,1380020224,2407563264
pipe_optimized,5,35884,256,256,722767872,1380020224,2407563264
pipe_optimized,5,38875,256,256,722767872,1380020224,2407563264
pipe_optimized,5,41868,256,256,722767872,1380020224,2407563264
pipe_optimized,6,1,256,256,720113664,1380020224,2405429248
pipe_optimized,6,3003,256,256,722767872,1380020224,2407563264
pipe_optimized,6,5994,256,256,722767872,1380020224,2407563264
pipe_optimized,6,8987,256,256,722767872,1380020224,2407563264
pipe_optimized,6,11978,256,256,722767872,1380020224,2407563264
pipe_optimized,6,14969,256,256,722767872,1380020224,2407563264
pipe_optimized,6,17962,256,256,722767872,1380020224,2407563264
pipe_optimized,6,20954,256,256,722767872,1380020224,2407563264
pipe_optimized,6,23947,256,256,722767872,1380020224,2407563264
pipe_optimized,6,26938,256,256,722767872,1380020224,2407563264
pipe_optimized,6,29931,256,256,722767872,1380020224,2407563264
pipe_optimized,6,32923,256,256,722767872,1380020224,2407563264
pipe_optimized,6,35914,256,256,722767872,1380020224,2407563264
pipe_optimized,6,38907,256,256,722767872,1380020224,2407563264
pipe_optimized,6,41897,256,256,722767872,1380020224,2407563264
pipe_optimized,7,1,256,256,720076800,1380020224,2405429248
pipe_optimized,7,2044,256,256,722767872,1380020224,2407563264
pipe_optimized,7,5037,256,256,722767872,1380020224,2407563264
pipe_optimized,7,8024,256,256,722767872,1380020224,2407563264
pipe_optimized,7,11014,256,256,722767872,1380020224,2407563264
pipe_optimized,7,14007,256,256,722767872,1380020224,2407563264
pipe_optimized,7,16998,256,256,722767872,1380020224,2407563264
pipe_optimized,7,19991,256,256,722767872,1380020224,2407563264
pipe_optimized,7,22983,256,256,722767872,1380020224,2407563264
pipe_optimized,7,25974,256,256,722767872,1380020224,2407563264
pipe_optimized,7,28966,256,256,722767872,1380020224,2407563264
pipe_optimized,7,31957,256,256,722767872,1380020224,2407563264
pipe_optimized,7,34952,256,256,722767872,1380020224,2407563264
pipe_optimized,7,37943,256,256,722767872,1380020224,2407563264
pipe_optimized,7,40934,256,256,722767872,1380020224,2407563264
pipe_optimized,7,43926,256,256,722767872,1380020224,2407563264
pipe_optimized,8,2,256,256,720113664,1380020224,2405429248
pipe_optimized,8,2879,256,256,722767872,1380020224,2407563264
pipe_optimized,8,5870,256,256,722767872,1380020224,2407563264
pipe_optimized,8,8860,256,256,722767872,1380020224,2407563264
pipe_optimized,8,11854,256,256,722767872,1380020224,2407563264
